label,encoder_type,encoder_model,embedding_dim,accuracy,macro_f1_all,macro_f1_fg,weighted_f1_all,weighted_f1_fg,iters,converged,model_path,labelmap_path,meta_path,job_id,macro_precision_fg,macro_recall_fg,phase_total,phase_scan,phase_embed,phase_train,phase_save,phase_calibration
qwen_dataset_clip_vitb16_bg5,clip,ViT-B/16,512,0.7003423473269244,0.6347526578711953,0.5612915756156046,0.718924051443945,0.7110624707920571,9,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_bg5.meta.pkl,3742e12ea81d401ba14395eb438d72f6,,,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_base_bg5,clip,ViT-B/16,512,0.5627118057956981,0.5811292732027201,0.48880825143679324,0.5955958263215162,0.5775140282401793,25,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_base_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_base_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_base_bg5.meta.pkl,bc7e9e3230174df796ad41352ea6f581,0.5024401177307606,0.6690436346705401,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_bg5,clip,ViT-B/16,512,0.5496230721350024,0.5713230096892518,0.4767010697855086,0.5856677337759653,0.5674280949473447,21,True,uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_bg5.pkl,uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_bg5_labels.pkl,uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_bg5.meta.pkl,1eff9675a9824fdd9b1bf589a5f06454,0.4996925259465828,0.6677037489093506,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5,clip,ViT-B/16,512,0.5853620582336261,0.5920908758813495,0.5049188063267219,0.6201151666219313,0.6043992663864334,34,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5.meta.pkl,230dd5d574d247a4856901b766898c93,0.5091606258107887,0.6802536462098713,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_center_std_bg5,clip,ViT-B/16,512,0.5678643059686008,0.5796525224215545,0.4882171515210381,0.6007973282404822,0.5834321198272466,28,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_center_std_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_center_std_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_center_std_bg5.meta.pkl,4fe27b71efe343f38fcb2828d551c4fe,0.4986661634045346,0.6757452523745197,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5,clip,ViT-B/16,512,0.7793761670931599,0.7178984534245375,0.6587445084583269,0.7894162678435805,0.7832215508949466,33,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5.meta.pkl,474f0a5ed9df4a6cbfb784c0e0160a3d,0.6248773620555635,0.7230533032832959,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_full_bg5,clip,ViT-B/16,512,0.7539594716093783,0.6965404672319438,0.6260692976817913,0.7678953419408265,0.7593369995715175,15,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_full_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_full_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_full_bg5.meta.pkl,d76d5d584d28405da712794caa8ba79d,0.5876024247414556,0.7165124755010747,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5,clip,ViT-B/16,512,0.57521267030915,0.5860650554322878,0.49355151319655083,0.6052826710403229,0.5877017367700109,28,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5.meta.pkl,c21b350efe4b421bbdd7d145bfe9ad8a,0.496359808218469,0.6797937770174424,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_hardmine_bg5,clip,ViT-B/16,512,0.5750397676187842,0.5834466040013307,0.4909534436546948,0.611966149837777,0.5951557412046055,22,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_hardmine_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_hardmine_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_hardmine_bg5.meta.pkl,2e5ca60be83d437d8063a6b8a8f833bf,0.5027350856244662,0.6841514975335095,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5,clip,ViT-B/16,512,0.6487481845217512,0.6145654999744384,0.5358419337263838,0.6836118023471001,0.6731742351921756,40,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5.meta.pkl,972dcca158cf446699fa252935676007,0.5246649654043134,0.6995553954593654,,,,,,
