Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_clip_vitb16_bg5, ViT-B/16, 0.7003, 0.5613, 0.7111
qwen_dataset_clip_vitl14_bg5, ViT-L/14, 0.6912, 0.5812, 0.7200
qwen_dataset_clip_vitb32_bg5, ViT-B/32, 0.6874, 0.5609, 0.7048
qwen_dataset_clip_vitb32_mlp_bg5, ViT-B/32, 0.7534, 0.6202, 0.7620
qwen_dataset_clip_vitb32_mlp512_256_bg5, ViT-B/32, 0.7646, 0.6522, 0.7698
qwen_dataset_dinov3_vitl16_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8236, 0.7189, 0.8336
qwen_dataset_dinov3_vitb16_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8217, 0.6937, 0.8309
qwen_dataset_dinov3_vits16_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7812, 0.6684, 0.7980
qwen_dataset_dinov3_vit7b16_sat493m_bg5, facebook/dinov3-vit7b16-pretrain-sat493m, 0.7693, 0.6571, 0.7820
qwen_dataset_dinov3_vitl16_sat493m_bg5, facebook/dinov3-vitl16-pretrain-sat493m, 0.7550, 0.6157, 0.7621
qwen_dataset_dinov3_vits16_mlp256_ls0_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8800, 0.7991, 0.8798
qwen_dataset_dinov3_vits16_mlp256_ls0p1_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8658, 0.7789, 0.8711
qwen_dataset_dinov3_vitb16_mlp512_ls0_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8603, 0.7714, 0.8621
qwen_dataset_dinov3_vitb16_mlp512_ls0p1_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8718, 0.7892, 0.8748
qwen_dataset_dinov3_vitl16_mlp768_384_ls0_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8732, 0.7908, 0.8743
qwen_dataset_dinov3_vitl16_mlp768_384_ls0p1_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8996, 0.8226, 0.8981
qwen_dataset_dinov3_vits16_mlp128_ls0_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8643, 0.7825, 0.8661
qwen_dataset_dinov3_vits16_mlp128_ls0p1_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8553, 0.7588, 0.8611
qwen_dataset_dinov3_vits16_mlp192_ls0_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8703, 0.7855, 0.8717
qwen_dataset_dinov3_vits16_mlp192_ls0p1_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8730, 0.7824, 0.8764
qwen_dataset_dinov3_vits16_mlp384_ls0_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8727, 0.7977, 0.8732
qwen_dataset_dinov3_vits16_mlp384_ls0p1_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8743, 0.7880, 0.8794
qwen_dataset_dinov3_vits16_mlp256_128_ls0_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8579, 0.7733, 0.8597
qwen_dataset_dinov3_vits16_mlp256_128_ls0p1_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8880, 0.8149, 0.8879
qwen_dataset_dinov3_vits16_mlp384_192_ls0_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8623, 0.7850, 0.8649
qwen_dataset_dinov3_vits16_mlp384_192_ls0p1_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8976, 0.8266, 0.8969
