label,encoder_type,encoder_model,embedding_dim,accuracy,macro_f1_all,macro_f1_fg,weighted_f1_all,weighted_f1_fg,iters,converged,model_path,labelmap_path,meta_path,job_id,macro_precision_fg,macro_recall_fg,phase_total,phase_scan,phase_embed,phase_train,phase_save,phase_calibration
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5,clip,ViT-B/16,512,0.5853620582336261,0.5920908758813495,0.5049188063267219,0.6201151666219313,0.6043992663864334,34,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_calib_bg5.meta.pkl,230dd5d574d247a4856901b766898c93,0.5091606258107887,0.6802536462098713,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5,clip,ViT-B/16,512,0.7793761670931599,0.7178984534245375,0.6587445084583269,0.7894162678435805,0.7832215508949466,33,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_effective_bg5.meta.pkl,474f0a5ed9df4a6cbfb784c0e0160a3d,0.6248773620555635,0.7230533032832959,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5,clip,ViT-B/16,512,0.57521267030915,0.5860650554322878,0.49355151319655083,0.6052826710403229,0.5877017367700109,28,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0_gelu_ln_bg5.meta.pkl,c21b350efe4b421bbdd7d145bfe9ad8a,0.496359808218469,0.6797937770174424,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5,clip,ViT-B/16,512,0.6487481845217512,0.6145654999744384,0.5358419337263838,0.6836118023471001,0.6731742351921756,40,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_base_bg5.meta.pkl,972dcca158cf446699fa252935676007,0.5246649654043134,0.6995553954593654,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_center_std_bg5,clip,ViT-B/16,512,0.6024275537727367,0.5965250268568061,0.509138600247924,0.6391927035191804,0.6243683231354837,22,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_center_std_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_center_std_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_center_std_bg5.meta.pkl,70ccd86b179348209a360413ab0b6977,0.5094968706587121,0.6811731360463416,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_full_bg5,clip,ViT-B/16,512,0.756812366000415,0.6986466840531261,0.633225284874484,0.7730590933352477,0.7657632377855229,17,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_full_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_full_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_full_bg5.meta.pkl,b150805dae1e4ef6814b86ea0bb9ec02,0.6029270195613873,0.7185702278458751,,,,,,
qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_hardmine_bg5,clip,ViT-B/16,512,0.6206860778753718,0.6027160345555053,0.5261662162166424,0.6582846218709719,0.6470027565300128,31,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_hardmine_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_hardmine_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp256_mix0p1_balnorm_ls0p1_hardmine_bg5.meta.pkl,cace8769b265401fb266791b34a1d9ba,0.5247210291331456,0.6895081130179674,,,,,,
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_calib_bg5,clip,ViT-B/16,512,0.6285012794799087,0.6253310706430062,0.5410520198940973,0.6580693888256156,0.6434216970740176,25,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_calib_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_calib_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_calib_bg5.meta.pkl,b480c01436bf43b485b5288b81bd2e01,0.5240913259740971,0.702295232809719,,,,,,
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_effective_bg5,clip,ViT-B/16,512,0.791825160799502,0.7440017313734055,0.6842530906101446,0.8019231995335743,0.7945503505020982,23,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_effective_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_effective_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_effective_bg5.meta.pkl,517a9fe4562e42899145ebffba3eca39,0.6681295617418423,0.7180558068800432,,,,,,
qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_gelu_ln_bg5,clip,ViT-B/16,512,0.5701120409433571,0.580356918898292,0.4943288090631772,0.6006122441853675,0.5848324703193339,15,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_gelu_ln_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_gelu_ln_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_clip_vitb16_mlp512_256_mix0p1_balnorm_ls0_gelu_ln_bg5.meta.pkl,4cbca8fc2aa04ea5abe079f798d71d77,0.5037146626942806,0.6793177320581504,,,,,,
