Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9054, 0.8454, 0.9030
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8996, 0.8429, 0.8975
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9024, 0.8422, 0.9001
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.9030, 0.8413, 0.9014
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9016, 0.8405, 0.8991
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8988, 0.8379, 0.8990
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8995, 0.8367, 0.8968
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8946, 0.8344, 0.8941
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8947, 0.8343, 0.8951
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8963, 0.8337, 0.8943
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8956, 0.8316, 0.8924
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8974, 0.8305, 0.8964
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8935, 0.8294, 0.8919
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8944, 0.8286, 0.8921
qwen_dataset_dinov3_vitb16_mlp768_384_192_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8905, 0.8283, 0.8881
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8956, 0.8282, 0.8944
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8931, 0.8273, 0.8917
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8918, 0.8270, 0.8917
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8931, 0.8267, 0.8931
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8946, 0.8262, 0.8926
qwen_dataset_dinov3_vitl16_mlp1024_512_256_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8911, 0.8255, 0.8893
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8873, 0.8253, 0.8843
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8900, 0.8251, 0.8897
qwen_dataset_dinov3_vits16_mlp256_128_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8912, 0.8250, 0.8908
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8919, 0.8245, 0.8924
