Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9092, 0.8508, 0.9056
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9086, 0.8507, 0.9051
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9069, 0.8467, 0.9034
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9043, 0.8453, 0.9015
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9070, 0.8428, 0.9029
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9070, 0.8426, 0.9031
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_full_logit_both_default_bg5_confirm, facebook/dinov3-vitl16-pretrain-lvd1689m, n/a, 0.8399, 0.9031
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.9038, 0.8371, 0.8999
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8996, 0.8360, 0.8952
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.9033, 0.8359, 0.8983
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.9000, 0.8348, 0.8958
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.9005, 0.8347, 0.8962
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9025, 0.8344, 0.8990
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.9014, 0.8325, 0.8975
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8983, 0.8315, 0.8944
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9024, 0.8308, 0.8982
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8991, 0.8296, 0.8950
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8969, 0.8271, 0.8928
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8954, 0.8250, 0.8919
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8967, 0.8250, 0.8932
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8959, 0.8233, 0.8929
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8947, 0.8187, 0.8903
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8939, 0.8170, 0.8896
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8917, 0.8169, 0.8887
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8932, 0.8102, 0.8861
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8932, 0.8095, 0.8885
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_infer_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8906, 0.8087, 0.8929
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8923, 0.8029, 0.8845
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_logit_infer_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8840, 0.8002, 0.8869
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_infer_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8639, 0.7611, 0.8722
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_infer_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8629, 0.7596, 0.8726
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8714, 0.7548, 0.8599
