Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9009, 0.8428, 0.8974
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8977, 0.8367, 0.8940
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8824, 0.8148, 0.8831
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8793, 0.8142, 0.8799
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8910, 0.8107, 0.8858
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8790, 0.8097, 0.8792
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8867, 0.8057, 0.8807
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8750, 0.8030, 0.8703
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8707, 0.7979, 0.8719
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8785, 0.7974, 0.8735
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8607, 0.7956, 0.8607
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_baseline_minimal_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8634, 0.7933, 0.8658
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8613, 0.7898, 0.8616
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8631, 0.7877, 0.8650
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_supcon_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8626, 0.7876, 0.8648
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_baseline_minimal_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8631, 0.7854, 0.8659
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_baseline_minimal_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8590, 0.7804, 0.8615
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8493, 0.7711, 0.8537
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_baseline_minimal_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8420, 0.7659, 0.8462
